,Time,Hoeveelheid regen per dag in mm
0,2023-07-31,14.1
1,2023-08-01,5.3
2,2023-08-02,17.0
3,2023-08-03,4.6
4,2023-08-04,0.1
5,2023-08-05,2.6
6,2023-08-06,14.8
7,2023-08-07,2.5
8,2023-08-08,2.5
9,2023-08-09,0.0
10,2023-08-10,0.0
11,2023-08-11,0.1
12,2023-08-12,19.8
13,2023-08-13,0.2
14,2023-08-14,0.0
15,2023-08-15,0.1
16,2023-08-16,0.0
17,2023-08-17,0.0
18,2023-08-18,0.0
19,2023-08-19,0.1
20,2023-08-20,0.0
21,2023-08-21,0.0
22,2023-08-22,0.0
23,2023-08-23,0.0
24,2023-08-24,0.4
25,2023-08-25,2.7
26,2023-08-26,4.4
27,2023-08-27,0.6
28,2023-08-28,0.0
29,2023-08-29,1.8
30,2023-08-30,7.4
31,2023-08-31,9.4
32,2023-09-01,4.9
33,2023-09-02,0.0
34,2023-09-03,0.0
35,2023-09-04,0.0
36,2023-09-05,0.0
37,2023-09-06,0.0
38,2023-09-07,0.0
39,2023-09-08,0.0
40,2023-09-09,0.0
41,2023-09-10,0.0
42,2023-09-11,1.1
43,2023-09-12,0.1
44,2023-09-13,0.2
45,2023-09-14,0.0
46,2023-09-15,0.0
47,2023-09-16,0.1
48,2023-09-17,19.1
49,2023-09-18,3.5
50,2023-09-19,0.3
51,2023-09-20,0.0
52,2023-09-21,11.9
53,2023-09-22,0.8
54,2023-09-23,6.5
55,2023-09-24,0.0
56,2023-09-25,0.0
57,2023-09-26,0.0
58,2023-09-27,0.0
59,2023-09-28,0.0
60,2023-09-29,4.2
61,2023-09-30,0.0
62,2023-10-01,0.0
63,2023-10-02,0.0
64,2023-10-03,4.8
65,2023-10-04,0.1
66,2023-10-05,0.1
67,2023-10-06,0.0
68,2023-10-07,0.0
69,2023-10-08,0.1
70,2023-10-09,0.1
71,2023-10-10,0.0
72,2023-10-11,0.2
73,2023-10-12,36.7
74,2023-10-13,36.7
75,2023-10-14,7.8
76,2023-10-15,11.1
77,2023-10-16,0.3
78,2023-10-17,0.0
79,2023-10-18,11.3
80,2023-10-19,2.1
81,2023-10-20,19.4
82,2023-10-21,4.4
83,2023-10-22,3.3
84,2023-10-23,3.6
85,2023-10-24,3.8
86,2023-10-25,15.7
87,2023-10-26,0.1
88,2023-10-27,11.0
89,2023-10-28,6.7
90,2023-10-29,5.6
91,2023-10-30,16.8
92,2023-10-31,18.5
93,2023-11-01,0.9
94,2023-11-02,9.1
95,2023-11-03,7.1
96,2023-11-04,10.7
97,2023-11-05,6.2
98,2023-11-06,0.9
99,2023-11-07,2.0
100,2023-11-08,20.4
101,2023-11-09,3.7
102,2023-11-10,4.5
103,2023-11-11,6.1
