,Time,Windkracht
0,2023-07-31,3
1,2023-08-01,3
2,2023-08-02,3
3,2023-08-03,3
4,2023-08-04,2
5,2023-08-05,2
6,2023-08-06,3
7,2023-08-07,3
8,2023-08-08,3
9,2023-08-09,2
10,2023-08-10,2
11,2023-08-11,2
12,2023-08-12,2
13,2023-08-13,2
14,2023-08-14,2
15,2023-08-15,2
16,2023-08-16,2
17,2023-08-17,3
18,2023-08-18,2
19,2023-08-19,2
20,2023-08-20,2
21,2023-08-21,1
22,2023-08-22,2
23,2023-08-23,2
24,2023-08-24,2
25,2023-08-25,2
26,2023-08-26,2
27,2023-08-27,2
28,2023-08-28,2
29,2023-08-29,1
30,2023-08-30,2
31,2023-08-31,2
32,2023-09-01,1
33,2023-09-02,1
34,2023-09-03,1
35,2023-09-04,2
36,2023-09-05,2
37,2023-09-06,2
38,2023-09-07,2
39,2023-09-08,1
40,2023-09-09,1
41,2023-09-10,2
42,2023-09-11,2
43,2023-09-12,1
44,2023-09-13,2
45,2023-09-14,1
46,2023-09-15,2
47,2023-09-16,2
48,2023-09-17,2
49,2023-09-18,3
50,2023-09-19,4
51,2023-09-20,3
52,2023-09-21,2
53,2023-09-22,3
54,2023-09-23,2
55,2023-09-24,2
56,2023-09-25,2
57,2023-09-26,2
58,2023-09-27,2
59,2023-09-28,2
60,2023-09-29,2
61,2023-09-30,2
62,2023-10-01,2
63,2023-10-02,2
64,2023-10-03,3
65,2023-10-04,3
66,2023-10-05,3
67,2023-10-06,3
68,2023-10-07,3
69,2023-10-08,2
70,2023-10-09,2
71,2023-10-10,2
72,2023-10-11,3
73,2023-10-12,2
74,2023-10-13,3
75,2023-10-14,2
76,2023-10-15,2
77,2023-10-16,2
78,2023-10-17,3
79,2023-10-18,3
80,2023-10-19,3
81,2023-10-20,3
82,2023-10-21,3
83,2023-10-22,3
84,2023-10-23,2
85,2023-10-24,3
86,2023-10-25,2
87,2023-10-26,2
88,2023-10-27,2
89,2023-10-28,3
90,2023-10-29,4
91,2023-10-30,2
92,2023-10-31,2
93,2023-11-01,3
94,2023-11-02,5
95,2023-11-03,4
96,2023-11-04,3
97,2023-11-05,3
98,2023-11-06,4
99,2023-11-07,3
100,2023-11-08,3
101,2023-11-09,3
102,2023-11-10,3
103,2023-11-11,2
104,2023-11-12,2
105,2023-11-13,3
106,2023-11-14,3
107,2023-11-15,3
108,2023-11-16,2
109,2023-11-17,2
110,2023-11-18,3
111,2023-11-19,4
112,2023-11-20,3
113,2023-11-21,2
114,2023-11-22,2
115,2023-11-23,3
116,2023-11-24,3
