"Time","Air Quality (ppm)"
2023-07-31 20:00:00,113 ppm
2023-08-01 02:00:00,110 ppm
2023-08-01 08:00:00,103 ppm
2023-08-01 14:00:00,80.5 ppm
2023-08-01 20:00:00,95.2 ppm
2023-08-02 02:00:00,91.3 ppm
2023-08-02 08:00:00,57.8 ppm
2023-08-02 14:00:00,115 ppm
2023-08-02 20:00:00,55.6 ppm
2023-08-03 02:00:00,45.6 ppm
2023-08-03 08:00:00,53.2 ppm
2023-08-03 14:00:00,
2023-08-03 20:00:00,
2023-08-04 02:00:00,
2023-08-04 08:00:00,
2023-08-04 14:00:00,
2023-08-04 20:00:00,91.4 ppm
2023-08-05 02:00:00,84.4 ppm
2023-08-05 08:00:00,76.2 ppm
2023-08-05 14:00:00,96.4 ppm
2023-08-05 20:00:00,92 ppm
2023-08-06 02:00:00,
2023-08-06 08:00:00,91 ppm
2023-08-06 14:00:00,120 ppm
2023-08-06 20:00:00,138 ppm
2023-08-07 02:00:00,144 ppm
2023-08-07 08:00:00,127 ppm
2023-08-07 14:00:00,
2023-08-07 20:00:00,
2023-08-08 02:00:00,
2023-08-08 08:00:00,
2023-08-08 14:00:00,
2023-08-08 20:00:00,
2023-08-09 02:00:00,
2023-08-09 08:00:00,
2023-08-09 14:00:00,
2023-08-09 20:00:00,
2023-08-10 02:00:00,
2023-08-10 08:00:00,
2023-08-10 14:00:00,58.5 ppm
2023-08-10 20:00:00,40.6 ppm
2023-08-11 02:00:00,27.7 ppm
2023-08-11 08:00:00,26.8 ppm
2023-08-11 14:00:00,38.9 ppm
2023-08-11 20:00:00,46.4 ppm
2023-08-12 02:00:00,33.5 ppm
2023-08-12 08:00:00,67.7 ppm
2023-08-12 14:00:00,136 ppm
2023-08-12 20:00:00,128 ppm
2023-08-13 02:00:00,78.4 ppm
2023-08-13 08:00:00,69.4 ppm
2023-08-13 14:00:00,80.7 ppm
2023-08-13 20:00:00,89.8 ppm
2023-08-14 02:00:00,86.1 ppm
2023-08-14 08:00:00,66.4 ppm
2023-08-14 14:00:00,72.1 ppm
2023-08-14 20:00:00,54.4 ppm
2023-08-15 02:00:00,53.4 ppm
2023-08-15 08:00:00,31.9 ppm
2023-08-15 14:00:00,111 ppm
2023-08-15 20:00:00,117 ppm
2023-08-16 02:00:00,70.6 ppm
2023-08-16 08:00:00,51.2 ppm
2023-08-16 14:00:00,51 ppm
2023-08-16 20:00:00,47.3 ppm
2023-08-17 02:00:00,81.5 ppm
2023-08-17 08:00:00,58.5 ppm
2023-08-17 14:00:00,34.5 ppm
2023-08-17 20:00:00,34.4 ppm
2023-08-18 02:00:00,59.9 ppm
2023-08-18 08:00:00,35.1 ppm
2023-08-18 14:00:00,25.4 ppm
2023-08-18 20:00:00,25.4 ppm
2023-08-19 02:00:00,26.3 ppm
2023-08-19 08:00:00,48.8 ppm
2023-08-19 14:00:00,150 ppm
2023-08-19 20:00:00,166 ppm
2023-08-20 02:00:00,125 ppm
2023-08-20 08:00:00,83.9 ppm
2023-08-20 14:00:00,121 ppm
2023-08-20 20:00:00,108 ppm
2023-08-21 02:00:00,109 ppm
2023-08-21 08:00:00,60.8 ppm
2023-08-21 14:00:00,106 ppm
2023-08-21 20:00:00,96.4 ppm
2023-08-22 02:00:00,86.4 ppm
2023-08-22 08:00:00,45.5 ppm
2023-08-22 14:00:00,62.4 ppm
2023-08-22 20:00:00,77.2 ppm
2023-08-23 02:00:00,87.2 ppm
2023-08-23 08:00:00,39.9 ppm
2023-08-23 14:00:00,111 ppm
2023-08-23 20:00:00,106 ppm
2023-08-24 02:00:00,71.1 ppm
2023-08-24 08:00:00,37.1 ppm
2023-08-24 14:00:00,35.1 ppm
2023-08-24 20:00:00,46.2 ppm
2023-08-25 02:00:00,55.1 ppm
2023-08-25 08:00:00,60.7 ppm
2023-08-25 14:00:00,104 ppm
2023-08-25 20:00:00,166 ppm
2023-08-26 02:00:00,118 ppm
2023-08-26 08:00:00,101 ppm
2023-08-26 14:00:00,79.2 ppm
2023-08-26 20:00:00,82.1 ppm
2023-08-27 02:00:00,119 ppm
2023-08-27 08:00:00,114 ppm
2023-08-27 14:00:00,98.1 ppm
2023-08-27 20:00:00,91.8 ppm
2023-08-28 02:00:00,97.2 ppm
2023-08-28 08:00:00,89.4 ppm
2023-08-28 14:00:00,91.4 ppm
2023-08-28 20:00:00,78.3 ppm
2023-08-29 02:00:00,78.4 ppm
2023-08-29 08:00:00,72.6 ppm
2023-08-29 14:00:00,87.4 ppm
2023-08-29 20:00:00,124 ppm
2023-08-30 02:00:00,102 ppm
2023-08-30 08:00:00,61.5 ppm
2023-08-30 14:00:00,96.5 ppm
2023-08-30 20:00:00,111 ppm
2023-08-31 02:00:00,78.7 ppm
2023-08-31 08:00:00,63.5 ppm
2023-08-31 14:00:00,134 ppm
2023-08-31 20:00:00,84.8 ppm
2023-09-01 02:00:00,34.9 ppm
2023-09-01 08:00:00,25.7 ppm
2023-09-01 14:00:00,33.9 ppm
2023-09-01 20:00:00,30.1 ppm
2023-09-02 02:00:00,32.2 ppm
2023-09-02 08:00:00,33.9 ppm
2023-09-02 14:00:00,78.9 ppm
2023-09-02 20:00:00,94.8 ppm
2023-09-03 02:00:00,105 ppm
2023-09-03 08:00:00,112 ppm
2023-09-03 14:00:00,163 ppm
