"Time","air_quality.mean"
2023-07-31 20:00:00,473 ppm
2023-08-01 02:00:00,463 ppm
2023-08-01 08:00:00,470 ppm
2023-08-01 14:00:00,482 ppm
2023-08-01 20:00:00,480 ppm
2023-08-02 02:00:00,490 ppm
2023-08-02 08:00:00,488 ppm
2023-08-02 14:00:00,459 ppm
2023-08-02 20:00:00,467 ppm
2023-08-03 02:00:00,481 ppm
2023-08-03 08:00:00,477 ppm
2023-08-03 14:00:00,
2023-08-03 20:00:00,
2023-08-04 02:00:00,
2023-08-04 08:00:00,
2023-08-04 14:00:00,
2023-08-04 20:00:00,497 ppm
2023-08-05 02:00:00,528 ppm
2023-08-05 08:00:00,491 ppm
2023-08-05 14:00:00,481 ppm
2023-08-05 20:00:00,479 ppm
2023-08-06 02:00:00,
2023-08-06 08:00:00,499 ppm
2023-08-06 14:00:00,479 ppm
2023-08-06 20:00:00,478 ppm
2023-08-07 02:00:00,474 ppm
2023-08-07 08:00:00,481 ppm
2023-08-07 14:00:00,
2023-08-07 20:00:00,
2023-08-08 02:00:00,
2023-08-08 08:00:00,
2023-08-08 14:00:00,
2023-08-08 20:00:00,
2023-08-09 02:00:00,
2023-08-09 08:00:00,
2023-08-09 14:00:00,
2023-08-09 20:00:00,
2023-08-10 02:00:00,
2023-08-10 08:00:00,
2023-08-10 14:00:00,455 ppm
2023-08-10 20:00:00,483 ppm
2023-08-11 02:00:00,518 ppm
2023-08-11 08:00:00,522 ppm
2023-08-11 14:00:00,490 ppm
2023-08-11 20:00:00,499 ppm
2023-08-12 02:00:00,540 ppm
2023-08-12 08:00:00,511 ppm
2023-08-12 14:00:00,488 ppm
2023-08-12 20:00:00,486 ppm
2023-08-13 02:00:00,488 ppm
2023-08-13 08:00:00,474 ppm
2023-08-13 14:00:00,475 ppm
2023-08-13 20:00:00,491 ppm
2023-08-14 02:00:00,542 ppm
2023-08-14 08:00:00,510 ppm
2023-08-14 14:00:00,471 ppm
2023-08-14 20:00:00,506 ppm
2023-08-15 02:00:00,487 ppm
2023-08-15 08:00:00,479 ppm
2023-08-15 14:00:00,434 ppm
2023-08-15 20:00:00,454 ppm
2023-08-16 02:00:00,466 ppm
2023-08-16 08:00:00,461 ppm
2023-08-16 14:00:00,429 ppm
2023-08-16 20:00:00,426 ppm
2023-08-17 02:00:00,432 ppm
2023-08-17 08:00:00,440 ppm
2023-08-17 14:00:00,431 ppm
2023-08-17 20:00:00,440 ppm
2023-08-18 02:00:00,448 ppm
2023-08-18 08:00:00,455 ppm
2023-08-18 14:00:00,446 ppm
2023-08-18 20:00:00,467 ppm
2023-08-19 02:00:00,477 ppm
2023-08-19 08:00:00,485 ppm
2023-08-19 14:00:00,436 ppm
2023-08-19 20:00:00,453 ppm
2023-08-20 02:00:00,480 ppm
2023-08-20 08:00:00,447 ppm
2023-08-20 14:00:00,430 ppm
2023-08-20 20:00:00,460 ppm
2023-08-21 02:00:00,493 ppm
2023-08-21 08:00:00,469 ppm
2023-08-21 14:00:00,434 ppm
2023-08-21 20:00:00,456 ppm
2023-08-22 02:00:00,476 ppm
2023-08-22 08:00:00,463 ppm
2023-08-22 14:00:00,440 ppm
2023-08-22 20:00:00,441 ppm
2023-08-23 02:00:00,510 ppm
2023-08-23 08:00:00,480 ppm
2023-08-23 14:00:00,418 ppm
2023-08-23 20:00:00,434 ppm
2023-08-24 02:00:00,454 ppm
2023-08-24 08:00:00,470 ppm
2023-08-24 14:00:00,455 ppm
2023-08-24 20:00:00,468 ppm
2023-08-25 02:00:00,477 ppm
2023-08-25 08:00:00,451 ppm
2023-08-25 14:00:00,427 ppm
2023-08-25 20:00:00,430 ppm
2023-08-26 02:00:00,448 ppm
2023-08-26 08:00:00,438 ppm
2023-08-26 14:00:00,441 ppm
2023-08-26 20:00:00,467 ppm
2023-08-27 02:00:00,456 ppm
2023-08-27 08:00:00,436 ppm
2023-08-27 14:00:00,425 ppm
2023-08-27 20:00:00,444 ppm
2023-08-28 02:00:00,477 ppm
2023-08-28 08:00:00,454 ppm
2023-08-28 14:00:00,417 ppm
2023-08-28 20:00:00,427 ppm
2023-08-29 02:00:00,489 ppm
2023-08-29 08:00:00,461 ppm
2023-08-29 14:00:00,443 ppm
2023-08-29 20:00:00,443 ppm
2023-08-30 02:00:00,455 ppm
2023-08-30 08:00:00,451 ppm
2023-08-30 14:00:00,425 ppm
2023-08-30 20:00:00,443 ppm
2023-08-31 02:00:00,436 ppm
2023-08-31 08:00:00,438 ppm
2023-08-31 14:00:00,425 ppm
2023-08-31 20:00:00,456 ppm
2023-09-01 02:00:00,477 ppm
2023-09-01 08:00:00,479 ppm
2023-09-01 14:00:00,467 ppm
2023-09-01 20:00:00,471 ppm
2023-09-02 02:00:00,481 ppm
2023-09-02 08:00:00,473 ppm
2023-09-02 14:00:00,443 ppm
2023-09-02 20:00:00,462 ppm
2023-09-03 02:00:00,494 ppm
2023-09-03 08:00:00,460 ppm
2023-09-03 14:00:00,435 ppm
2023-09-03 20:00:00,450 ppm
2023-09-04 02:00:00,477 ppm
2023-09-04 08:00:00,470 ppm
2023-09-04 14:00:00,440 ppm
2023-09-04 20:00:00,442 ppm
2023-09-05 02:00:00,476 ppm
2023-09-05 08:00:00,477 ppm
2023-09-05 14:00:00,461 ppm
2023-09-05 20:00:00,486 ppm
2023-09-06 02:00:00,499 ppm
2023-09-06 08:00:00,519 ppm
2023-09-06 14:00:00,457 ppm
2023-09-06 20:00:00,499 ppm
2023-09-07 02:00:00,501 ppm
2023-09-07 08:00:00,487 ppm
2023-09-07 14:00:00,455 ppm
2023-09-07 20:00:00,472 ppm
2023-09-08 02:00:00,492 ppm
2023-09-08 08:00:00,504 ppm
2023-09-08 14:00:00,453 ppm
2023-09-08 20:00:00,485 ppm
2023-09-09 02:00:00,527 ppm
2023-09-09 08:00:00,484 ppm
2023-09-09 14:00:00,446 ppm
2023-09-09 20:00:00,469 ppm
2023-09-10 02:00:00,487 ppm
2023-09-10 08:00:00,464 ppm
2023-09-10 14:00:00,460 ppm
2023-09-10 20:00:00,476 ppm
2023-09-11 02:00:00,490 ppm
2023-09-11 08:00:00,474 ppm
2023-09-11 14:00:00,450 ppm
2023-09-11 20:00:00,459 ppm
2023-09-12 02:00:00,510 ppm
2023-09-12 08:00:00,496 ppm
2023-09-12 14:00:00,450 ppm
2023-09-12 20:00:00,446 ppm
2023-09-13 02:00:00,469 ppm
2023-09-13 08:00:00,428 ppm
2023-09-13 14:00:00,430 ppm
2023-09-13 20:00:00,446 ppm
2023-09-14 02:00:00,480 ppm
2023-09-14 08:00:00,474 ppm
2023-09-14 14:00:00,450 ppm
2023-09-14 20:00:00,453 ppm
2023-09-15 02:00:00,467 ppm
2023-09-15 08:00:00,473 ppm
2023-09-15 14:00:00,440 ppm
2023-09-15 20:00:00,468 ppm
2023-09-16 02:00:00,468 ppm
2023-09-16 08:00:00,467 ppm
2023-09-16 14:00:00,441 ppm
2023-09-16 20:00:00,426 ppm
2023-09-17 02:00:00,437 ppm
2023-09-17 08:00:00,433 ppm
2023-09-17 14:00:00,463 ppm
2023-09-17 20:00:00,487 ppm
2023-09-18 02:00:00,481 ppm
2023-09-18 08:00:00,485 ppm
2023-09-18 14:00:00,441 ppm
2023-09-18 20:00:00,432 ppm
2023-09-19 02:00:00,422 ppm
2023-09-19 08:00:00,431 ppm
2023-09-19 14:00:00,428 ppm
2023-09-19 20:00:00,431 ppm
2023-09-20 02:00:00,427 ppm
2023-09-20 08:00:00,442 ppm
2023-09-20 14:00:00,427 ppm
2023-09-20 20:00:00,428 ppm
2023-09-21 02:00:00,429 ppm
2023-09-21 08:00:00,455 ppm
2023-09-21 14:00:00,458 ppm
2023-09-21 20:00:00,458 ppm
2023-09-22 02:00:00,444 ppm
2023-09-22 08:00:00,446 ppm
2023-09-22 14:00:00,433 ppm
2023-09-22 20:00:00,443 ppm
2023-09-23 02:00:00,444 ppm
2023-09-23 08:00:00,455 ppm
2023-09-23 14:00:00,452 ppm
2023-09-23 20:00:00,483 ppm
2023-09-24 02:00:00,469 ppm
2023-09-24 08:00:00,452 ppm
