"Time","Air Temperature mean"
2023-07-31 20:00:00,17.7 °C
2023-08-01 02:00:00,17.2 °C
2023-08-01 08:00:00,18.6 °C
2023-08-01 14:00:00,18.5 °C
2023-08-01 20:00:00,17.8 °C
2023-08-02 02:00:00,16.6 °C
2023-08-02 08:00:00,18.5 °C
2023-08-02 14:00:00,21.2 °C
2023-08-02 20:00:00,17.8 °C
2023-08-03 02:00:00,17.5 °C
2023-08-03 08:00:00,19.0 °C
2023-08-03 14:00:00,
2023-08-03 20:00:00,
2023-08-04 02:00:00,
2023-08-04 08:00:00,
2023-08-04 14:00:00,
2023-08-04 20:00:00,17.5 °C
2023-08-05 02:00:00,16.4 °C
2023-08-05 08:00:00,19.1 °C
2023-08-05 14:00:00,17.9 °C
2023-08-05 20:00:00,17.3 °C
2023-08-06 02:00:00,
2023-08-06 08:00:00,16.8 °C
2023-08-06 14:00:00,16.6 °C
2023-08-06 20:00:00,14.7 °C
2023-08-07 02:00:00,14.5 °C
2023-08-07 08:00:00,15.5 °C
2023-08-07 14:00:00,
2023-08-07 20:00:00,
2023-08-08 02:00:00,
2023-08-08 08:00:00,
2023-08-08 14:00:00,
2023-08-08 20:00:00,
2023-08-09 02:00:00,
2023-08-09 08:00:00,
2023-08-09 14:00:00,
2023-08-09 20:00:00,
2023-08-10 02:00:00,
2023-08-10 08:00:00,
2023-08-10 14:00:00,18.5 °C
2023-08-10 20:00:00,20.8 °C
2023-08-11 02:00:00,17.9 °C
2023-08-11 08:00:00,22.8 °C
2023-08-11 14:00:00,25.4 °C
2023-08-11 20:00:00,21.5 °C
2023-08-12 02:00:00,20.1 °C
2023-08-12 08:00:00,19.9 °C
2023-08-12 14:00:00,22.4 °C
2023-08-12 20:00:00,20.0 °C
2023-08-13 02:00:00,18.4 °C
2023-08-13 08:00:00,21.3 °C
2023-08-13 14:00:00,22.9 °C
2023-08-13 20:00:00,19.8 °C
2023-08-14 02:00:00,16.7 °C
2023-08-14 08:00:00,21.0 °C
2023-08-14 14:00:00,25.9 °C
2023-08-14 20:00:00,22.3 °C
